,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
25,2016-03-22,MIA,@,NOP,W 113-99,240,44,88,.500,41,69,.594,3,19,.158,22,27,.815,113,34,87,.391,27,71,.380,7,16,.438,24,30,.800,99
26,2016-03-19,MIA,,CLE,W 122-101,240,46,84,.548,35,65,.538,11,19,.579,19,23,.826,122,40,76,.526,30,52,.577,10,24,.417,11,13,.846,101
27,2016-03-17,MIA,,CHO,L 106-109,240,40,75,.533,33,58,.569,7,17,.412,19,24,.792,106,40,86,.465,27,60,.450,13,26,.500,16,21,.762,109
28,2016-03-14,MIA,,DEN,W 124-119,240,47,79,.595,39,62,.629,8,17,.471,22,28,.786,124,49,93,.527,42,73,.575,7,20,.350,14,20,.700,119
29,2016-03-12,MIA,@,TOR,L 104-112 (OT),265,37,98,.378,28,73,.384,9,25,.360,21,26,.808,104,37,84,.440,31,66,.470,6,18,.333,32,38,.842,112
30,2016-03-11,MIA,@,CHI,W 118-96,240,47,91,.516,37,73,.507,10,18,.556,14,20,.700,118,38,81,.469,30,60,.500,8,21,.381,12,15,.800,96
31,2016-03-09,MIA,@,MIL,L 108-114,240,42,80,.525,36,65,.554,6,15,.400,18,19,.947,108,42,80,.525,38,72,.528,4,8,.500,26,37,.703,114
32,2016-03-06,MIA,,PHI,W 103-98,240,36,81,.444,28,67,.418,8,14,.571,23,30,.767,103,37,85,.435,26,54,.481,11,31,.355,13,22,.591,98
33,2016-03-04,MIA,@,PHI,W 112-102,240,39,88,.443,34,72,.472,5,16,.313,29,36,.806,112,36,95,.379,27,64,.422,9,31,.290,21,27,.778,102
34,2016-03-03,MIA,,PHO,W 108-92,240,40,83,.482,31,66,.470,9,17,.529,19,25,.760,108,33,82,.402,28,60,.467,5,22,.227,21,27,.778,92
35,2016-03-01,MIA,,CHI,W 129-111,240,52,77,.675,46,65,.708,6,12,.500,19,25,.760,129,41,90,.456,30,67,.448,11,23,.478,18,26,.692,111
36,2016-02-28,MIA,@,NYK,W 98-81,240,40,84,.476,39,76,.513,1,8,.125,17,21,.810,98,32,87,.368,26,72,.361,6,15,.400,11,12,.917,81
37,2016-02-27,MIA,@,BOS,L 89-101,240,36,87,.414,35,74,.473,1,13,.077,16,23,.696,89,39,96,.406,34,80,.425,5,16,.313,18,22,.818,101
38,2016-02-24,MIA,,GSW,L 112-118,240,40,86,.465,34,72,.472,6,14,.429,26,31,.839,112,42,90,.467,29,62,.468,13,28,.464,21,25,.840,118
39,2016-02-22,MIA,,IND,W 101-93 (OT),265,38,100,.380,36,87,.414,2,13,.154,23,34,.676,101,36,92,.391,31,77,.403,5,15,.333,16,25,.640,93
40,2016-02-20,MIA,,WAS,W 114-94,240,47,96,.490,45,83,.542,2,13,.154,18,28,.643,114,40,99,.404,37,77,.481,3,22,.136,11,21,.524,94
41,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
42,2016-02-19,MIA,@,ATL,W 115-111,240,44,88,.500,36,68,.529,8,20,.400,19,28,.679,115,41,87,.471,25,51,.490,16,36,.444,13,13,1.000,111
43,2016-02-09,MIA,,SAS,L 101-119,240,40,70,.571,36,58,.621,4,12,.333,17,24,.708,101,47,89,.528,41,75,.547,6,14,.429,19,26,.731,119
44,2016-02-07,MIA,,LAC,L 93-100,240,33,83,.398,26,66,.394,7,17,.412,20,29,.690,93,37,81,.457,28,56,.500,9,25,.360,17,33,.515,100
45,2016-02-05,MIA,@,CHO,W 98-95,240,43,94,.457,43,85,.506,0,9,.000,12,18,.667,98,36,81,.444,26,55,.473,10,26,.385,13,15,.867,95
46,2016-02-03,MIA,@,DAL,W 93-90,240,37,88,.420,35,73,.479,2,15,.133,17,23,.739,93,34,87,.391,26,67,.388,8,20,.400,14,19,.737,90
47,2016-02-02,MIA,@,HOU,L 102-115,240,38,85,.447,32,68,.471,6,17,.353,20,27,.741,102,44,84,.524,28,49,.571,16,35,.457,11,16,.688,115
48,2016-01-31,MIA,,ATL,W 105-87,240,39,81,.481,34,61,.557,5,20,.250,22,26,.846,105,27,70,.386,22,48,.458,5,22,.227,28,32,.875,87
49,2016-01-29,MIA,@,MIL,W 107-103,240,37,74,.500,30,56,.536,7,18,.389,26,32,.813,107,38,80,.475,36,68,.529,2,12,.167,25,28,.893,103
50,2016-01-26,MIA,@,BRK,W 102-98,240,45,83,.542,42,74,.568,3,9,.333,9,10,.900,102,36,71,.507,27,53,.509,9,18,.500,17,23,.739,98
51,2016-01-25,MIA,@,CHI,W 89-84,240,37,81,.457,34,67,.507,3,14,.214,12,17,.706,89,35,88,.398,30,70,.429,5,18,.278,9,12,.750,84
52,2016-01-22,MIA,@,TOR,L 81-101,240,33,81,.407,29,64,.453,4,17,.235,11,17,.647,81,35,75,.467,22,50,.440,13,25,.520,18,21,.857,101
53,2016-01-20,MIA,@,WAS,L 87-106,240,33,68,.485,26,53,.491,7,15,.467,14,18,.778,87,45,86,.523,40,70,.571,5,16,.313,11,13,.846,106
54,2016-01-19,MIA,,MIL,L 79-91,240,27,74,.365,22,52,.423,5,22,.227,20,26,.769,79,36,74,.486,31,62,.500,5,12,.417,14,16,.875,91
55,2016-01-17,MIA,@,OKC,L 74-99,240,30,72,.417,26,58,.448,4,14,.286,10,11,.909,74,40,88,.455,33,66,.500,7,22,.318,12,12,1.000,99
56,2016-01-15,MIA,@,DEN,W 98-95,240,40,81,.494,36,69,.522,4,12,.333,14,19,.737,98,32,78,.410,26,60,.433,6,18,.333,25,26,.962,95
57,2016-01-13,MIA,@,LAC,L 90-104,240,31,70,.443,22,46,.478,9,24,.375,19,29,.655,90,40,94,.426,29,69,.420,11,25,.440,13,16,.813,104
58,2016-01-11,MIA,@,GSW,L 103-111,240,41,91,.451,34,72,.472,7,19,.368,14,16,.875,103,41,86,.477,34,63,.540,7,23,.304,22,30,.733,111
59,2016-01-09,MIA,@,UTA,L 83-98,240,34,82,.415,28,63,.444,6,19,.316,9,17,.529,83,39,71,.549,30,51,.588,9,20,.450,11,18,.611,98
60,2016-01-08,MIA,@,PHO,W 103-95,240,36,73,.493,29,55,.527,7,18,.389,24,30,.800,103,40,92,.435,34,68,.500,6,24,.250,9,13,.692,95
61,2016-01-06,MIA,,NYK,L 90-98,240,37,82,.451,35,65,.538,2,17,.118,14,15,.933,90,39,70,.557,36,62,.581,3,8,.375,17,18,.944,98
62,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
63,2016-01-04,MIA,,IND,W 103-100 (OT),265,34,90,.378,29,68,.426,5,22,.227,30,39,.769,103,37,94,.394,29,66,.439,8,28,.286,18,25,.720,100
64,2016-01-03,MIA,@,WAS,W 97-75,240,39,86,.453,30,63,.476,9,23,.391,10,12,.833,97,31,91,.341,27,61,.443,4,30,.133,9,13,.692,75
65,2016-01-01,MIA,,DAL,W 106-82,240,46,82,.561,38,64,.594,8,18,.444,6,9,.667,106,32,88,.364,25,57,.439,7,31,.226,11,14,.786,82
66,2015-12-29,MIA,@,MEM,L 90-99 (OT),265,35,79,.443,24,50,.480,11,29,.379,9,18,.500,90,38,87,.437,34,72,.472,4,15,.267,19,20,.950,99
67,2015-12-28,MIA,,BRK,L 105-111,240,36,78,.462,26,54,.481,10,24,.417,23,30,.767,105,36,82,.439,24,59,.407,12,23,.522,27,36,.750,111
68,2015-12-26,MIA,@,ORL,W 108-101,240,38,77,.494,28,57,.491,10,20,.500,22,23,.957,108,43,79,.544,34,60,.567,9,19,.474,6,13,.462,101
69,2015-12-25,MIA,,NOP,W 94-88 (OT),265,35,88,.398,29,62,.468,6,26,.231,18,27,.667,94,36,90,.400,30,70,.429,6,20,.300,10,11,.909,88
70,2015-12-22,MIA,,DET,L 92-93,240,39,88,.443,35,70,.500,4,18,.222,10,12,.833,92,35,78,.449,20,48,.417,15,30,.500,8,14,.571,93
71,2015-12-20,MIA,,POR,W 116-109,240,43,75,.573,31,52,.596,12,23,.522,18,26,.692,116,39,80,.488,26,46,.565,13,34,.382,18,22,.818,109
72,2015-12-18,MIA,,TOR,L 94-108,240,35,74,.473,26,49,.531,9,25,.360,15,17,.882,94,41,80,.513,33,59,.559,8,21,.381,18,22,.818,108
73,2015-12-16,MIA,@,BRK,W 104-98,240,40,75,.533,33,54,.611,7,21,.333,17,24,.708,104,42,89,.472,38,73,.521,4,16,.250,10,14,.714,98
74,2015-12-14,MIA,@,ATL,W 100-88,240,40,89,.449,33,73,.452,7,16,.438,13,15,.867,100,33,84,.393,25,51,.490,8,33,.242,14,15,.933,88
75,2015-12-13,MIA,,MEM,W 100-97,240,37,77,.481,30,55,.545,7,22,.318,19,23,.826,100,40,77,.519,33,58,.569,7,19,.368,10,14,.714,97
76,2015-12-11,MIA,@,IND,L 83-96,240,35,81,.432,30,61,.492,5,20,.250,8,13,.615,83,36,86,.419,30,58,.517,6,28,.214,18,20,.900,96
77,2015-12-09,MIA,@,CHO,L 81-99,240,29,75,.387,23,54,.426,6,21,.286,17,24,.708,81,40,81,.494,29,54,.537,11,27,.407,8,17,.471,99
78,2015-12-07,MIA,,WAS,L 103-114,240,41,69,.594,36,53,.679,5,16,.313,16,22,.727,103,46,92,.500,37,74,.500,9,18,.500,13,17,.765,114
79,2015-12-05,MIA,,CLE,W 99-84,240,37,68,.544,30,52,.577,7,16,.438,18,29,.621,99,31,85,.365,25,57,.439,6,28,.214,16,24,.667,84
80,2015-12-03,MIA,,OKC,W 97-95,240,40,81,.494,37,68,.544,3,13,.231,14,24,.583,97,35,79,.443,31,63,.492,4,16,.250,21,24,.875,95
