,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
76,2018-02-27,PHI,@,MIA,L 101-102,240,35,84,.417,23,53,.434,12,31,.387,19,23,.826,101,36,82,.439,27,55,.491,9,27,.333,21,28,.750,102
77,2018-02-25,PHI,@,WAS,L 94-109,240,31,86,.360,22,53,.415,9,33,.273,23,31,.742,94,43,79,.544,31,54,.574,12,25,.480,11,12,.917,109
78,2018-02-24,PHI,,ORL,W 116-105,240,42,81,.519,33,54,.611,9,27,.333,23,27,.852,116,38,85,.447,25,54,.463,13,31,.419,16,19,.842,105
79,2018-02-22,PHI,@,CHI,W 116-115,240,42,82,.512,31,53,.585,11,29,.379,21,35,.600,116,44,97,.454,26,63,.413,18,34,.529,9,15,.600,115
80,2018-02-14,PHI,,MIA,W 104-102,240,39,92,.424,30,57,.526,9,35,.257,17,25,.680,104,35,77,.455,24,50,.480,11,27,.407,21,29,.724,102
81,2018-02-12,PHI,,NYK,W 108-92,240,41,75,.547,31,56,.554,10,19,.526,16,24,.667,108,31,79,.392,25,55,.455,6,24,.250,24,28,.857,92
82,2018-02-10,PHI,,LAC,W 112-98,240,43,90,.478,30,57,.526,13,33,.394,13,17,.765,112,38,88,.432,30,56,.536,8,32,.250,14,23,.609,98
83,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
84,2018-02-09,PHI,,NOP,W 100-82,240,39,93,.419,25,59,.424,14,34,.412,8,9,.889,100,33,95,.347,25,64,.391,8,31,.258,8,16,.500,82
85,2018-02-06,PHI,,WAS,W 115-102,240,45,82,.549,31,54,.574,14,28,.500,11,14,.786,115,41,93,.441,34,66,.515,7,27,.259,13,18,.722,102
86,2018-02-03,PHI,@,IND,L 92-100,240,33,87,.379,23,55,.418,10,32,.313,16,24,.667,92,35,79,.443,26,52,.500,9,27,.333,21,25,.840,100
87,2018-02-02,PHI,,MIA,W 103-97,240,42,85,.494,34,61,.557,8,24,.333,11,15,.733,103,34,87,.391,22,50,.440,12,37,.324,17,26,.654,97
88,2018-01-31,PHI,@,BRK,L 108-116,240,36,76,.474,29,58,.500,7,18,.389,29,34,.853,108,39,77,.506,26,45,.578,13,32,.406,25,28,.893,116
89,2018-01-29,PHI,@,MIL,L 95-107,240,36,82,.439,34,56,.607,2,26,.077,21,23,.913,95,38,80,.475,27,52,.519,11,28,.393,20,22,.909,107
90,2018-01-28,PHI,@,OKC,L 112-122,240,38,76,.500,27,47,.574,11,29,.379,25,31,.806,112,45,92,.489,35,59,.593,10,33,.303,22,30,.733,122
91,2018-01-26,PHI,@,SAS,W 97-78,240,38,79,.481,29,58,.500,9,21,.429,12,18,.667,97,30,75,.400,27,51,.529,3,24,.125,15,18,.833,78
