,DATE,START,VISITOR,PTS,HOME,PTS,ATTEND,NOTES,VISITOR_MP,VISITOR_FG,VISITOR_FGA,VISITOR_FG%,VISITOR_3P,VISITOR_3PA,VISITOR_3P%,VISITOR_FT,VISITOR_FTA,VISITOR_FT%,VISITOR_ORB,VISITOR_DRB,VISITOR_TRB,VISITOR_AST,VISITOR_STL,VISITOR_BLK,VISITOR_TOV,VISITOR_PF,VISITOR_PTS,VISITOR_+/-,VISITOR_TS%,VISITOR_eFG%,VISITOR_3PAr,VISITOR_FTr,VISITOR_ORB%,VISITOR_DRB%,VISITOR_TRB%,VISITOR_AST%,VISITOR_STL%,VISITOR_BLK%,VISITOR_TOV%,VISITOR_USG%,VISITOR_ORtg,VISITOR_DRtg,HOME_MP,HOME_FG,HOME_FGA,HOME_FG%,HOME_3P,HOME_3PA,HOME_3P%,HOME_FT,HOME_FTA,HOME_FT%,HOME_ORB,HOME_DRB,HOME_TRB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,HOME_PTS,HOME_+/-,HOME_TS%,HOME_eFG%,HOME_3PAr,HOME_FTr,HOME_ORB%,HOME_DRB%,HOME_TRB%,HOME_AST%,HOME_STL%,HOME_BLK%,HOME_TOV%,HOME_USG%,HOME_ORtg,HOME_DRtg
20,"Mon, Feb 4, 2019",7:30p,Milwaukee Bucks,113.0,Brooklyn Nets,94.0,16209.0,,240,43,101,.426,10,39,.256,17,25,.680,15,44,59,29,9,7,9,20,113,,.504,.475,.386,.248,27.3,73.3,51.3,67.4,8.6,11.7,7.4,100.0,107.8,89.7,240,33,102,.324,5,42,.119,23,28,.821,16,40,56,23,5,9,13,21,94,,.411,.348,.412,.275,26.7,72.7,48.7,69.7,4.8,14.5,10.2,100.0,89.7,107.8
21,"Mon, Feb 4, 2019",7:00p,Denver Nuggets,103.0,Detroit Pistons,129.0,12589.0,,240,41,92,.446,9,28,.321,12,22,.545,10,22,32,28,10,3,13,19,103,,.506,.495,.304,.239,21.3,57.9,37.6,68.3,10.0,5.9,11.3,100.0,102.9,128.9,240,48,88,.545,16,37,.432,17,20,.850,16,37,53,32,8,8,20,20,129,,.666,.636,.420,.227,42.1,78.7,62.4,66.7,8.0,12.5,17.1,100.0,128.9,102.9
22,"Mon, Feb 4, 2019",8:00p,Indiana Pacers,109.0,New Orleans Pelicans,107.0,15780.0,,240,41,91,.451,10,28,.357,17,24,.708,8,35,43,25,5,3,9,17,109,,.537,.505,.308,.264,16.0,72.9,43.9,61.0,5.0,5.8,8.1,100.0,108.0,106.0,240,39,90,.433,9,38,.237,20,24,.833,13,42,55,26,6,4,16,19,107,,.532,.483,.422,.267,27.1,84.0,56.1,66.7,5.9,6.3,13.7,100.0,106.0,108.0
23,"Mon, Feb 4, 2019",9:00p,Houston Rockets,118.0,Phoenix Suns,110.0,15740.0,,240,43,87,.494,13,41,.317,19,25,.760,12,31,43,19,13,2,12,19,118,,.602,.569,.471,.287,29.3,77.5,53.1,44.2,13.4,3.4,10.9,100.0,121.6,113.4,240,45,84,.536,7,25,.280,13,18,.722,9,29,38,29,9,1,17,20,110,,.598,.577,.298,.214,22.5,70.7,46.9,64.4,9.3,2.2,15.6,100.0,113.4,121.6
24,"Mon, Feb 4, 2019",10:00p,San Antonio Spurs,112.0,Sacramento Kings,127.0,16245.0,,240,42,98,.429,9,32,.281,19,21,.905,15,31,46,18,6,3,8,20,112,,.522,.474,.327,.214,27.3,79.5,48.9,42.9,6.1,5.2,6.9,100.0,114.0,129.3,240,50,90,.556,13,32,.406,14,23,.609,8,40,48,26,5,5,8,18,127,,.634,.628,.356,.256,20.5,72.7,51.1,52.0,5.1,7.6,7.4,100.0,129.3,114.0
25,"Mon, Feb 4, 2019",7:00p,Atlanta Hawks,137.0,Washington Wizards,129.0,15025.0,,240,46,91,.505,20,40,.500,25,29,.862,14,36,50,29,7,2,12,22,137,,.660,.615,.440,.319,34.1,73.5,55.6,63.0,7.0,3.4,10.4,100.0,136.4,128.5,240,48,97,.495,12,38,.316,21,29,.724,13,27,40,34,5,8,8,20,129,,.588,.557,.392,.299,26.5,65.9,44.4,70.8,5.0,15.7,6.8,100.0,128.5,136.4
26,"Tue, Feb 5, 2019",7:00p,Los Angeles Clippers,117.0,Charlotte Hornets,115.0,14300.0,,240,42,87,.483,18,24,.750,15,17,.882,8,40,48,25,1,6,11,24,117,,.619,.586,.276,.195,19.5,78.4,52.2,59.5,1.0,11.8,10.4,100.0,122.3,120.2,240,39,93,.419,15,42,.357,22,26,.846,11,33,44,19,8,9,5,19,115,,.551,.500,.452,.280,21.6,80.5,47.8,48.7,8.4,14.3,4.6,100.0,120.2,122.3
27,"Tue, Feb 5, 2019",7:00p,Boston Celtics,103.0,Cleveland Cavaliers,96.0,19432.0,,240,40,82,.488,9,26,.346,14,14,1.000,8,34,42,29,10,10,13,14,103,,.584,.543,.317,.171,20.0,69.4,47.2,72.5,10.8,15.9,12.9,100.0,111.7,104.1,240,40,96,.417,9,33,.273,7,8,.875,15,32,47,21,6,0,12,17,96,,.482,.464,.344,.083,30.6,80.0,52.8,52.5,6.5,0.0,10.8,100.0,104.1,111.7
28,"Tue, Feb 5, 2019",7:00p,Los Angeles Lakers,94.0,Indiana Pacers,136.0,17265.0,,240,35,75,.467,4,21,.190,20,26,.769,3,31,34,25,5,3,19,14,94,,.544,.493,.280,.347,9.1,75.6,45.9,71.4,5.0,4.7,18.0,100.0,93.6,135.5,240,56,98,.571,19,34,.559,5,8,.625,10,30,40,37,11,7,10,20,136,,.670,.668,.347,.082,24.4,90.9,54.1,66.1,11.0,13.0,9.0,100.0,135.5,93.6
29,"Tue, Feb 5, 2019",8:00p,Minnesota Timberwolves,106.0,Memphis Grizzlies,108.0,13454.0,,240,39,87,.448,9,29,.310,19,20,.950,16,39,55,26,4,4,15,23,106,,.553,.500,.333,.230,37.2,76.5,58.5,66.7,4.4,7.7,13.5,100.0,115.3,117.5,240,36,86,.419,15,34,.441,21,29,.724,12,27,39,18,11,6,8,18,108,,.547,.506,.395,.337,23.5,62.8,41.5,50.0,12.0,10.3,7.5,100.0,117.5,115.3
